TRUCK#,DESCRIPTION,UPC#,hs code,QTY, RETAIL , EXTENDED RETAIL , COST ,#PALLETS,Country of Origin
16238960,MD 1490 3S-Chaise RHF Part 1,,9401611090,1, $ 707.49 , $ 707.49 , $ 102.59 ,17,CHINA
16238960,"Medallion Planter (28""W)",,6912009090,1," $ 1,129.99 "," $ 1,129.99 ", $ 163.85 ,17,CHINA
16238960,MemoirsÂ® 1.28 GPF Water Efficient Elongated One-Piece toilet,650531994967,6910101030,1, $ 614.48 , $ 614.48 , $ 89.10 ,17,CHINA
16238960,Mowgli 5 Drawer Chest,655450163104,9403601099,1, $ 749.99 , $ 749.99 , $ 108.75 ,17,CHINA
16238960,"Myron 36"" Single Bathroom Vanity Set",639592737553,9405190091,1, $ 779.99 , $ 779.99 , $ 113.10 ,17,CHINA
16238960,"Navarra 82"" W Closet System Corner Systems",192443388125,9403100099,1," $ 1,549.99 "," $ 1,549.99 ", $ 224.75 ,17,U.S.A.
16238960,Paneled Manufactured Wood Primed Molded Interior Barn Door with Installation Hardware Kit,192269146077,8302420090,1, $ 981.24 , $ 981.24 , $ 142.28 ,17,CHINA
16238960,Right Pier,726692317669,9403601091,1, $ 739.99 , $ 739.99 , $ 107.30 ,17,CHINA
16238960,Roehl Mirrored Pedestal Dining Base,190499061801,9403601091,1, $ 699.99 , $ 699.99 , $ 101.50 ,17,CHINA
16238960,Siri 7 Drawer Dresser,812702024075,9403500090,1, $ 729.99 , $ 729.99 , $ 105.85 ,17,CHINA
16238960,"Sterling 6"" x 36"" x 1.2mm Saddle Vinyl Plank",54006258606,3918109090,100, $ 16.35 ," $ 1,635.00 ", $ 237.08 ,17,U.S.A.
16238960,Table Base,842081049994,9403601091,1, $ 449.99 , $ 449.99 , $ 65.25 ,17,CHINA
16238960,Table Base,,9403601091,1, $ 339.99 , $ 339.99 , $ 49.30 ,17,VIETNAM
16238960,Table Top,842081049987,9403601092,1, $ 549.99 , $ 549.99 , $ 79.75 ,17,CHINA
16238960,Underbed Storage Drawer,190977161443,4420900090,1, $ 619.99 , $ 619.99 , $ 89.90 ,17,CHINA
16238960,Vienna Changing Table Topper,723175360624,9403601092,1, $ 182.92 , $ 182.92 , $ 26.52 ,17,VIETNAM
16238960,Wayfair Basics,190959599288,9004100000,4, $ 109.99 , $ 439.96 , $ 63.79 ,17,CHINA
16238960,Wayfair Basics,190959599288,9004100000,2, $ 109.99 , $ 219.98 , $ 31.90 ,17,VIETNAM
16238960,Zanuck Dining Table Top,5059351828226,9403601092,1, $ 489.99 , $ 489.99 , $ 71.05 ,17,CHINA
16238960,Zetta Upholstered Platform Bed,699618846232,9403500090,2," $ 2,659.99 "," $ 5,319.98 ", $ 771.40 ,17,U.S.A.
,,,,191,," $ 57,993.20 "," $ 8,409.01 ",,
